table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...Asian,"8,468,047","8,468,171","8,527,548","8,790,284","9,063,251","9,343,059","9,642,777","9,956,850","10,260,272","10,540,672","10,763,729","10,987,079"
...Native Hawaiian and Other Pacific Islander,"667,751","667,778","671,423","686,637","701,956","718,105","733,323","749,480","765,880","781,216","795,440","809,488"
..NOT HISPANIC,"126,162,526","126,169,176","126,330,232","126,926,336","127,584,326","128,176,346","128,808,383","129,427,521","129,996,496","130,462,704","130,776,619","131,086,287"
...One Race:,,,,,,,,,,,,
....White,"97,017,621","97,021,367","97,064,855","97,158,345","97,295,780","97,369,753","97,460,074","97,520,329","97,548,881","97,517,824","97,417,737","97,313,073"
....Black or African American,"18,068,911","18,071,580","18,116,179","18,300,933","18,492,535","18,674,207","18,860,103","19,048,208","19,229,784","19,393,851","19,534,542","19,674,412"
....American Indian and Alaska Native,"1,115,756","1,115,817","1,118,413","1,128,471","1,139,263","1,149,557","1,159,452","1,168,573","1,176,983","1,184,653","1,191,578","1,198,371"
....Asian,"6,969,823","6,969,907","7,017,356","7,229,728","7,451,505","7,678,895","7,925,069","8,183,982","8,432,483","8,660,217","8,834,259","9,008,809"
....Native Hawaiian and Other Pacific Islander,"250,698","250,709","252,045","257,511","262,746","268,700","273,584","279,169","284,949","290,195","294,983","299,775"
...Two or More Races,"2,739,717","2,739,796","2,761,384","2,851,348","2,942,497","3,035,234","3,130,101","3,227,260","3,323,416","3,415,964","3,503,520","3,591,847"
...Race Alone or in Combination:1,,,,,,,,,,,,
....White,"99,426,433","99,430,232","99,493,870","99,670,803","99,892,699","100,052,545","100,230,667","100,380,727","100,498,166","100,552,874","100,534,346","100,511,947"
....Black or African American,"19,202,085","19,204,800","19,261,108","19,494,741","19,735,482","19,966,958","20,203,911","20,444,313","20,677,919","20,892,602","21,082,356","21,272,051"
....American Indian and Alaska Native,"1,969,560","1,969,640","1,975,038","1,996,121","2,018,301","2,039,920","2,061,211","2,082,027","2,102,185","2,120,421","2,137,041","2,153,494"
....Asian,"8,028,893","8,029,010","8,085,458","8,336,117","8,596,812","8,864,132","9,151,288","9,452,097","9,741,818","10,009,167","10,219,758","10,430,961"
....Native Hawaiian and Other Pacific Islander,"508,278","508,302","511,012","522,379","533,638","545,770","557,000","568,995","581,161","592,442","602,719","613,046"
..HISPANIC,"25,618,800","25,619,601","25,744,526","26,273,722","26,790,071","27,305,580","27,846,041","28,428,873","29,025,289","29,583,216","30,109,115","30,571,037"
...One Race:,,,,,,,,,,,,
....White,"22,681,299","22,682,009","22,788,596","23,240,597","23,676,124","24,111,025","24,568,631","25,064,752","25,573,012","26,046,717","26,490,731","26,879,242"
....Black or African American,"1,136,129","1,136,190","1,143,063","1,174,326","1,207,475","1,240,585","1,274,304","1,309,013","1,343,919","1,377,538","1,410,545","1,438,928"
....American Indian and Alaska Native,"773,939","773,950","777,576","791,366","806,366","820,630","835,528","851,610","867,717","882,639","896,854","910,435"
....Asian,"248,654","248,658","249,857","254,851","260,065","265,269","270,553","276,381","282,502","288,243","293,583","298,796"
....Native Hawaiian and Other Pacific Islander,"92,206","92,208","92,609","94,320","96,194","97,962","99,736","101,669","103,708","105,624","107,476","109,183"
...Two or More Races,"686,573","686,586","692,825","718,262","743,847","770,109","797,289","825,448","854,431","882,455","909,926","934,453"
...Race Alone or in Combination:1,,,,,,,,,,,,
....White,"23,289,620","23,290,342","23,402,625","23,877,923","24,336,697","24,795,403","25,277,721","25,799,489","26,334,215","26,833,514","27,302,613","27,713,495"
....Black or African American,"1,430,605","1,430,671","1,440,935","1,486,127","1,533,405","1,580,978","1,629,868","1,680,285","1,731,384","1,780,921","1,829,812","1,871,507"
....American Indian and Alaska Native,"1,085,172","1,085,188","1,090,889","1,112,892","1,136,266","1,159,116","1,182,915","1,208,298","1,233,953","1,257,916","1,280,860","1,302,328"
....Asian,"439,154","439,161","442,090","454,167","466,439","478,927","491,489","504,753","518,454","531,505","543,971","556,118"
....Native Hawaiian and Other Pacific Islander,"159,473","159,476","160,411","164,258","168,318","172,335","176,323","180,485","184,719","188,774","192,721","196,442"
.FEMALE,"156,964,212","156,969,328","157,246,908","158,356,816","159,456,593","160,511,789","161,646,584","162,778,769","163,919,526","164,939,619","165,801,767","166,582,199"
..One Race:,,,,,,,,,,,,
...White,"122,238,141","122,242,055","122,381,877","122,893,203","123,382,874","123,828,111","124,321,936","124,797,609","125,291,165","125,706,232","126,052,557","126,329,875"
...Black or African American,"21,045,595","21,046,680","21,096,143","21,308,288","21,525,329","21,737,071","21,955,713","22,175,270","22,396,480","22,602,753","22,786,937","22,961,746"
...American Indian and Alaska Native,"1,849,811","1,849,840","1,856,285","1,881,614","1,907,593","1,932,579","1,958,374","1,984,175","2,010,040","2,034,313","2,057,379","2,079,286"
...Asian,"7,941,039","7,941,078","7,994,195","8,236,493","8,483,522","8,735,588","9,007,947","9,292,381","9,564,964","9,815,777","10,006,263","10,197,257"
...Native Hawaiian and Other Pacific Islander,"331,721","331,727","333,392","340,385","347,720","354,913","361,953","369,321","377,157","384,497","391,328","397,979"
..Two or More Races,"3,557,905","3,557,948","3,585,016","3,696,833","3,809,555","3,923,527","4,040,661","4,160,013","4,279,720","4,396,047","4,507,303","4,616,056"
..Race Alone or in Combination:1,,,,,,,,,,,,
...White,"125,351,477","125,355,422","125,520,363","126,135,057","126,728,702","127,279,105","127,881,085","128,466,893","129,070,890","129,593,454","130,042,898","130,421,046"
...Black or African American,"22,580,483","22,581,589","22,645,602","22,917,989","23,196,004","23,469,784","23,752,700","24,037,529","24,324,455","24,595,063","24,842,042","25,077,581"
...American Indian and Alaska Native,"3,083,750","3,083,794","3,095,202","3,140,332","3,185,793","3,229,999","3,275,411","3,320,942","3,366,686","3,409,955","3,450,921","3,489,730"
...Asian,"9,208,460","9,208,517","9,271,893","9,557,597","9,848,752","10,145,429","10,463,200","10,794,276","11,113,423","11,409,266","11,641,865","11,874,906"
...Native Hawaiian and Other Pacific Islander,"664,743","664,751","668,272","682,978","698,188","713,290","728,349","743,755","759,701","774,838","789,000","802,936"
..NOT HISPANIC,"132,105,418","132,110,318","132,248,549","132,773,294","133,319,963","133,827,035","134,404,432","134,952,900","135,493,928","135,949,305","136,271,013","136,580,999"
...One Race:,,,,,,,,,,,,
....White,"100,301,335","100,305,067","100,323,737","100,328,054","100,343,792","100,320,652","100,339,518","100,316,671","100,296,785","100,230,335","100,117,465","99,996,749"
....Black or African American,"19,853,611","19,854,674","19,897,292","20,078,445","20,263,615","20,443,110","20,628,654","20,814,370","21,001,515","21,174,582","21,326,162","21,473,076"
....American Indian and Alaska Native,"1,147,502","1,147,525","1,150,362","1,161,065","1,171,950","1,182,333","1,192,719","1,202,298","1,211,716","1,220,516","1,228,663","1,236,537"
....Asian,"7,691,693","7,691,732","7,743,638","7,980,734","8,222,421","8,468,944","8,735,666","9,014,218","9,280,823","9,526,032","9,711,169","9,897,070"
....Native Hawaiian and Other Pacific Islander,"246,518","246,524","247,814","253,159","258,775","264,200","269,462","274,883","280,728","286,181","291,180","296,133"
...Two or More Races,"2,864,759","2,864,796","2,885,706","2,971,837","3,059,410","3,147,796","3,238,413","3,330,460","3,422,361","3,511,659","3,596,374","3,681,434"
...Race Alone or in Combination:1,,,,,,,,,,,,
....White,"102,803,203","102,806,961","102,845,098","102,929,333","103,026,166","103,084,890","103,187,770","103,250,142","103,315,307","103,331,637","103,297,668","103,256,223"
....Black or African American,"21,080,725","21,081,805","21,135,731","21,363,358","21,595,822","21,823,405","22,058,500","22,294,302","22,531,599","22,753,775","22,952,919","23,147,716"
....American Indian and Alaska Native,"2,072,064","2,072,101","2,077,752","2,099,451","2,121,327","2,142,419","2,163,652","2,183,883","2,204,029","2,222,975","2,240,497","2,257,593"
....Asian,"8,766,145","8,766,200","8,826,720","9,100,256","9,379,192","9,663,316","9,968,369","10,286,383","10,592,275","10,875,486","11,095,813","11,317,035"
....Native Hawaiian and Other Pacific Islander,"512,076","512,084","514,747","525,686","537,093","548,281","559,464","570,887","582,719","593,964","604,259","614,551"
..HISPANIC,"24,858,794","24,859,010","24,998,359","25,583,522","26,136,630","26,684,754","27,242,152","27,825,869","28,425,598","28,990,314","29,530,754","30,001,200"
...One Race:,,,,,,,,,,,,
....White,"21,936,806","21,936,988","22,058,140","22,565,149","23,039,082","23,507,459","23,982,418","24,480,938","24,994,380","25,475,897","25,935,092","26,333,126"
....Black or African American,"1,191,984","1,192,006","1,198,851","1,229,843","1,261,714","1,293,961","1,327,059","1,360,900","1,394,965","1,428,171","1,460,775","1,488,670"
....American Indian and Alaska Native,"702,309","702,315","705,923","720,549","735,643","750,246","765,655","781,877","798,324","813,797","828,716","842,749"
....Asian,"249,346","249,346","250,557","255,759","261,101","266,644","272,281","278,163","284,141","289,745","295,094","300,187"
....Native Hawaiian and Other Pacific Islander,"85,203","85,203","85,578","87,226","88,945","90,713","92,491","94,438","96,429","98,316","100,148","101,846"
...Two or More Races,"693,146","693,152","699,310","724,996","750,145","775,731","802,248","829,553","857,359","884,388","910,929","934,622"
...Race Alone or in Combination:1,,,,,,,,,,,,
....White,"22,548,274","22,548,461","22,675,265","23,205,724","23,702,536","24,194,215","24,693,315","25,216,751","25,755,583","26,261,817","26,745,230","27,164,823"
....Black or African American,"1,499,758","1,499,784","1,509,871","1,554,631","1,600,182","1,646,379","1,694,200","1,743,227","1,792,856","1,841,288","1,889,123","1,929,865"
....American Indian and Alaska Native,"1,011,686","1,011,693","1,017,450","1,040,881","1,064,466","1,087,580","1,111,759","1,137,059","1,162,657","1,186,980","1,210,424","1,232,137"
....Asian,"442,315","442,317","445,173","457,341","469,560","482,113","494,831","507,893","521,148","533,780","546,052","557,871"
....Native Hawaiian and Other Pacific Islander,"152,667","152,667","153,525","157,292","161,095","165,009","168,885","172,868","176,982","180,874","184,741","188,385"
"1 ""In combination"" means in combination with one or more other races. The sum of the five race groups adds to more than the total population because individuals may report more than one race. ",,,,,,,,,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of ""Some Other Race"" from the 2010 Census are modified. This results in differences between the population for specific race categories shown for the 2010 Census population in this table versus those in the original 2010 Census data. For more information, see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/modified-race-summary-file-method/mrsf2010.pdf. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-SR11H)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,
